2026-04-14 12:58:30,226 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-14 12:58:30,227 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-14 12:59:09,433 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:59:10,043 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 14:47:28,337 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 14:47:28,948 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-25 15:08:29,742 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-25 15:08:31,575 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-25 15:08:32,186 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-25 15:19:57,634 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-25 15:19:57,634 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-25 15:42:48,443 | MainThread   | [INFO    ] | on_click_sim_reset  |: Resetting Simulator
2026-04-25 15:42:49,251 | MainThread   | [INFO    ] | on_click_plotter_reset|: Resetting Plotter
2026-04-25 17:11:39,181 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-25 17:11:39,183 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-25 17:11:40,414 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-25 17:11:41,021 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-25 17:16:45,615 | MainThread   | [INFO    ] | on_click_sim_reset  |: Resetting Simulator
2026-04-25 17:30:59,783 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-25 17:30:59,794 | MainThread   | [ERROR   ] | start               |: Simulator is already running
2026-04-25 17:30:59,795 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-25 17:30:59,803 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-25 17:30:59,804 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-25 17:31:52,243 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-25 17:31:52,243 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-25 17:31:54,202 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-25 17:31:54,812 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-25 19:52:14,884 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-25 19:52:14,885 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-25 19:54:16,611 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-25 19:54:19,959 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-25 19:54:20,570 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-25 20:07:32,779 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-25 20:07:32,780 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-25 20:07:33,933 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-25 20:07:34,542 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-25 20:08:54,424 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-25 20:08:54,426 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-25 23:54:27,831 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-25 23:54:27,833 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-26 00:07:36,819 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-26 00:07:49,854 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-26 16:28:44,054 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-26 16:28:46,395 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-26 16:29:30,583 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-26 16:36:31,028 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-26 16:36:45,194 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-26 16:36:45,194 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-26 16:43:05,444 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-26 17:33:12,093 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-26 17:33:14,422 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-26 17:59:44,947 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 17:51:27,927 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 17:52:00,116 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 18:07:53,484 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 18:07:57,133 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 18:09:01,512 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 18:13:55,593 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 18:13:57,701 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 18:48:21,339 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:05:17,301 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:05:19,689 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:09:11,097 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:09:13,202 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:16:44,058 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:16:45,016 | MainThread   | [ERROR   ] | start               |: Plotter is already running
