2026-05-14 00:07:19,580 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-05-14 00:07:19,580 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-05-14 00:07:19,580 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-05-14 00:07:19,580 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-05-14 00:07:19,580 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-05-14 00:07:28,867 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-05-14 00:07:40,859 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-05-14 00:07:45,628 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-05-14 00:07:55,060 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-05-14 00:08:04,021 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-05-14 00:09:45,755 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-05-14 00:09:45,755 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-05-14 00:10:06,933 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-05-14 00:10:26,332 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-05-14 00:10:41,946 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
